RATE CODE,Room Nights,%Room Nights,Room Revenue,%Room Revenue,Daily AVG
LEXP,1186,8.64,101462.61,7.23,85.55
LPROMO,595,4.33,56702.08,4.04,95.3
RACK,902,6.57,107090.08,7.63,118.73
S15M3M,81,0.59,7048.11,0.5,87.01
S3A,230,1.68,25917.62,1.85,112.69
SED,117,0.85,4800,0.34,41.03
SO1H,17,0.12,1435.49,0.1,84.44
SOPM1M,338,2.46,34228.55,2.44,101.27
SP2BK,21,0.15,1841.53,0.13,87.69
SP3R,169,1.23,16616.93,1.18,98.33
SRD,453,3.3,27355.75,1.95,60.39
SRTL,953,6.94,106399.34,7.58,111.65
LOPQ2,509,3.71,35483.17,2.53,69.71
S10M2M,73,0.53,5954.01,0.42,81.56
SAPR1B,117,0.85,14517.44,1.03,124.08
SAPR2X,377,2.75,37694.01,2.69,99.98
SOPRM1,57,0.42,6830.52,0.49,119.83
SP2EXP,82,0.6,6351.57,0.45,77.46
SAPR2M,353,2.57,41417.16,2.95,117.33
SBOOK,1055,7.68,129222.4,9.21,122.49
SO1AG,4,0.03,279.96,0.02,69.99
SO1EXP,260,1.89,27177.48,1.94,104.53
SP3BK,137,1,12687.7,0.9,92.61
SP3AG,78,0.57,5832.21,0.42,74.77
SP3EXP,80,0.58,6588.74,0.47,82.36
S20M5M,144,1.05,11929.21,0.85,82.84
SO1R,274,2,35596.97,2.54,129.92
ND8R02,2,0.01,164.9,0.01,82.45
SO1G,5,0.04,359.87,0.03,71.97
SO1BK,67,0.49,8257.27,0.59,123.24
SCR,332,2.42,37483.83,2.67,112.9
NSGV,13,0.09,1242.75,0.09,95.6
SSC,91,0.66,10793.6,0.77,118.61
SAPR2B,260,1.89,30613.8,2.18,117.75
LNET2,32,0.23,2900.93,0.21,90.65
SAARP1,2,0.01,147.18,0.01,73.59
SP15M3,47,0.34,4668.12,0.33,99.32
LL10,35,0.25,4579.69,0.33,130.85
SAPR2,31,0.23,3832.02,0.27,123.61
