"﻿IDS_DATE","Day","Rooms","OOO","StayOver","Arrivals","DueOut","Available","Group Block","Group Picked Up","TransNGTD","TransGTD","Occupied","OccPercent","RoomRev","RevPAR","ADR","Ppl"
"4/1/23","Sat","47","0","45","18","17","2"," "," "," "," ","45","95.74 %","5,543.80","117.95","123.20","77 / 8"
"4/2/23","Sun","47","0","26","12","31","21"," "," "," "," ","26","55.32 %","3,290.40","70.01","126.55","45 / 8"
"4/3/23","Mon","47","1","31","18","13","15"," "," "," "," ","31","67.39 %","3,684.27","80.09","118.85","52 / 7"
"4/4/23","Tue","47","9","36","21","16","2"," "," "," "," ","36","94.74 %","4,716.67","124.12","131.02","59 / 7"
"4/5/23","Wed","47","20","20","7","23","7"," "," "," "," ","20","74.07 %","2,515.71","93.17","125.79","35 / 2"
"4/6/23","Thu","47","17","17","10","13","13"," "," "," "," ","17","56.67 %","2,051.87","68.40","120.70","32 / 7"
"4/7/23","Fri","47","1","41","33","9","5"," "," "," "," ","41","91.30 %","4,503.19","97.90","107.22","73 / 11"
"4/8/23","Sat","47","2","45","27","23","0"," "," "," "," ","45","100.00 %","4,906.41","109.03","109.03","79 / 12"
"4/9/23","Sun","47","4","30","13","28","13"," "," "," "," ","30","69.77 %","3,380.47","78.62","112.68","44 / 6"
"4/10/23","Mon","47","7","26","13","17","14"," "," "," "," ","26","65.00 %","4,076.56","101.91","156.79","38 / 12"
"4/11/23","Tue","47","0","34","18","10","13"," "," "," "," ","34","72.34 %","4,497.33","95.69","132.27","51 / 14"
"4/12/23","Wed","47","11","24","12","22","12"," "," "," "," ","24","66.67 %","2,985.46","82.93","124.39","39 / 9"
"4/13/23","Thu","47","0","27","14","11","20"," "," "," "," ","27","57.45 %","3,404.29","72.43","126.08","45 / 6"
"4/14/23","Fri","47","0","42","23","8","5"," "," "," "," ","42","89.36 %","5,250.27","111.71","125.01","75 / 11"
"4/15/23","Sat","47","0","38","19","23","9"," "," "," "," ","38","80.85 %","4,531.44","96.41","119.25","68 / 4"
"4/16/23","Sun","47","0","20","2","20","27"," "," "," "," ","20","42.55 %","2,426.55","51.63","121.33","35 / 1"
"4/17/23","Mon","47","1","21","12","11","25"," "," "," "," ","21","45.65 %","1,788.88","38.89","85.18","34 / 1"
"4/18/23","Tue","47","2","33","20","8","12"," "," "," "," ","33","73.33 %","3,971.21","88.25","120.34","57 / 0"
"4/19/23","Wed","47","4","39","27","21","4"," "," "," "," ","39","90.70 %","4,098.81","95.32","105.10","68 / 2"
"4/20/23","Thu","47","2","35","17","21","10"," "," "," "," ","35","77.78 %","3,777.99","83.96","107.94","63 / 2"
"4/21/23","Fri","47","0","43","29","21","4"," "," "," "," ","43","91.49 %","4,827.56","102.71","112.27","77 / 17"
"4/22/23","Sat","47","0","43","17","17","4"," "," "," "," ","43","91.49 %","4,811.54","102.37","111.90","76 / 18"
"4/23/23","Sun","47","0","31","21","33","16"," "," "," "," ","31","65.96 %","3,255.50","69.27","105.02","54 / 1"
"4/24/23","Mon","47","2","37","21","15","8"," "," "," "," ","37","82.22 %","3,525.10","78.34","95.27","61 / 3"
"4/25/23","Tue","47","3","40","20","17","4"," "," "," "," ","40","90.91 %","4,152.66","94.38","103.82","60 / 2"
"4/26/23","Wed","47","2","44","20","16","1"," "," "," "," ","44","97.78 %","4,951.42","110.03","112.53","68 / 1"
"4/27/23","Thu","47","2","40","18","22","5"," "," "," "," ","40","88.89 %","4,241.31","94.25","106.03","67 / 1"
"4/28/23","Fri","47","2","33","18","25","12"," "," "," "," ","33","73.33 %","3,824.67","84.99","115.90","55 / 4"
"4/29/23","Sat","47","1","35","20","18","11"," "," "," "," ","35","78.26 %","4,188.68","91.06","116.35","64 / 1"
"4/30/23","Sun","47","0","24","9","20","23"," "," "," "," ","24","51.06 %","2,575.06","54.79","107.29","38 / 1"

