IDS_DATE,Day,Rooms,OOO,StayOver,Arrivals,DueOut,Available,Group Block,Group Picked Up,TransNGTD,TransGTD,Occupied,OccPercent,RoomRev,RevPAR,ADR
12/12/2023,Tue,47,0,33,11,11,14,,,,,33,70.21%,2393.09,50.92,72.52
12/13/2023,Wed,47,0,40,24,17,7,,,,,40,85.11%,2895.5,61.61,72.39
12/14/2023,Thu,47,0,40,18,18,7,,,,,40,85.11%,2883.71,61.36,72.09
12/15/2023,Fri,47,1,38,21,23,8,,,,,38,84.78%,2844.11,61.83,72.93
12/16/2023,Sat,47,2,42,15,11,3,,,,,42,93.33%,3206.77,71.26,76.35
12/17/2023,Sun,47,4,29,15,28,14,,,,,29,67.44%,1982.32,46.1,68.36
12/18/2023,Mon,47,1,33,19,15,13,,,,,33,71.74%,2190.54,47.62,66.38
12/19/2023,Tue,47,0,31,15,17,16,,,,,31,65.96%,2180.69,46.4,70.34
12/20/2023,Wed,47,2,36,22,17,9,,,,,36,82.22%,2900.79,64.46,78.4
12/21/2023,Thu,47,0,24,8,20,23,,,,,24,53.19%,1803.4,38.37,72.14
12/22/2023,Fri,47,0,24,13,13,23,,,,,24,51.06%,1816.03,38.64,75.67
12/23/2023,Sat,47,0,26,16,14,21,,,,,26,55.32%,1965.27,41.81,75.59
12/24/2023,Sun,47,0,35,17,8,12,,,,,35,74.47%,2632.66,56.01,75.22
12/25/2023,Mon,47,13,26,6,15,8,,,,,26,76.47%,1983.92,58.35,76.3
12/26/2023,Tue,47,7,22,10,14,18,,,,,22,55.00%,1604.63,40.12,72.94
12/27/2023,Wed,47,0,31,18,9,16,,,,,31,65.96%,2390.77,50.87,77.12
12/28/2023,Thu,47,0,46,26,11,1,,,,,46,100.00%,3586.58,76.31,76.31
12/29/2023,Fri,47,0,43,17,20,4,,,,,43,91.49%,3313.53,70.5,77.06
12/30/2023,Sat,47,2,40,17,20,5,,,,,40,88.89%,3274.12,72.76,81.85
12/31/2023,Sun,47,0,30,12,22,17,,,,,30,63.83%,2706.79,57.59,90.23
